Make,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16
Acura,59 ,65 ,63 ,73 ,68 ,58 ,65 ,66 ,64 ,61 ,70 ,69 ,71 
Audi,47 ,45 ,50 ,53 ,57 ,67 ,54 ,55 ,57 ,60 ,61 ,59 ,55 
BMW,60 ,67 ,69 ,67 ,60 ,75 ,79 ,76 ,72 ,80 ,82 ,92 ,83 
Buick,75 ,84 ,76 ,75 ,66 ,76 ,74 ,76 ,77 ,93 ,105 ,104 ,97 
Cadillac,86 ,92 ,90 ,82 ,68 ,77 ,85 ,66 ,72 ,79 ,87 ,82 ,77 
Chevrolet,77 ,78 ,79 ,86 ,90 ,74 ,81 ,77 ,71 ,76 ,75 ,76 ,77 
Chrysler,85 ,83 ,82 ,89 ,95 ,101 ,118 ,112 ,107 ,94 ,94 ,86 ,86 
Dodge,85 ,85 ,83 ,85 ,87 ,111 ,109 ,110 ,113 ,106 ,101 ,103 ,103 
Fiat,90 ,108 ,101 ,94 ,124 ,161 ,164 ,152 ,168 ,122 ,112 ,110 ,102 
Ford,61 ,58 ,54 ,51 ,59 ,69 ,73 ,84 ,87 ,91 ,90 ,80 ,74 
GMC,63 ,69 ,72 ,69 ,69 ,90 ,73 ,63 ,66 ,71 ,90 ,75 ,67 
Honda,47 ,45 ,48 ,50 ,51 ,44 ,45 ,47 ,49 ,54 ,55 ,50 ,48 
Hyundai,78 ,72 ,70 ,68 ,75 ,89 ,83 ,80 ,78 ,87 ,88 ,85 ,75 
Infiniti,73 ,72 ,73 ,72 ,73 ,88 ,68 ,58 ,50 ,58 ,59 ,67 ,77 
Jeep,61 ,64 ,68 ,65 ,67 ,75 ,75 ,75 ,71 ,77 ,84 ,93 ,90 
Kia,70 ,68 ,67 ,66 ,77 ,82 ,77 ,78 ,79 ,76 ,70 ,72 ,72 
Lexus,45 ,49 ,50 ,56 ,63 ,51 ,41 ,51 ,54 ,59 ,58 ,61 ,68 
Lincoln,94 ,84 ,77 ,68 ,63 ,75 ,69 ,77 ,83 ,77 ,77 ,78 ,73 
Mazda,56 ,58 ,55 ,57 ,55 ,57 ,61 ,59 ,61 ,66 ,66 ,63 ,67 
Mercedes-Benz,53 ,57 ,60 ,55 ,47 ,54 ,58 ,59 ,60 ,68 ,65 ,59 ,58 
MINI,75 ,89 ,97 ,103 ,112 ,112 ,96 ,88 ,92 ,91 ,108 ,121 ,121 
Mitsubishi,96 ,86 ,80 ,81 ,94 ,109 ,93 ,96 ,102 ,99 ,92 ,93 ,98 
Nissan,70 ,69 ,65 ,66 ,78 ,91 ,77 ,77 ,77 ,79 ,78 ,80 ,84 
Ram,86 ,89 ,101 ,101 ,99 ,84 ,83 ,86 ,93 ,101 ,98 ,126 ,129 
Scion,69 ,67 ,40 ,46 ,61 ,75 ,78 ,80 ,92 ,92 ,99 ,129 ,167 
smart,110 ,104 ,63 ,73 ,76 ,111 ,128 ,151 ,151 ,124 ,138 ,149 ,114 
Subaru,22 ,23 ,19 ,19 ,28 ,22 ,23 ,24 ,26 ,27 ,23 ,23 ,23 
Toyota,39 ,41 ,43 ,37 ,41 ,42 ,40 ,44 ,45 ,47 ,47 ,46 ,50 
Volkswagen,61 ,71 ,79 ,58 ,38 ,50 ,50 ,51 ,52 ,52 ,70 ,71 ,61 
Volvo,81 ,88 ,78 ,63 ,64 ,68 ,68 ,87 ,92 ,98 ,94 ,98 ,94 
