,RegionCLI,RegionLPPI,City,State,Country
0,100.0,100.0,NEW YORK,NY, UNITED STATES
1,92.13,139.0,SAN FRANCISCO,CA, UNITED STATES
2,90.83,119.91,ANCHORAGE,AK, UNITED STATES
3,88.68,97.98,OAKLAND,CA, UNITED STATES
4,88.61,107.59,BOSTON,MA, UNITED STATES
5,87.99,133.18,SEATTLE,WA, UNITED STATES
6,87.05,76.47,HONOLULU,HI, UNITED STATES
7,84.69,117.21,WASHINGTON,DC, UNITED STATES
8,83.61,91.09,MIAMI,FL, UNITED STATES
9,83.21,99.2,CHARLESTON,SC, UNITED STATES
10,83.18,116.05,MINNEAPOLIS,MN, UNITED STATES
11,82.71,109.82,CHICAGO,IL, UNITED STATES
12,81.22,99.37,FORT LAUDERDALE,FL, UNITED STATES
13,81.19,103.41,PORTLAND,OR, UNITED STATES
14,79.94,137.4,IRVINE,CA, UNITED STATES
15,79.82,106.0,LOS ANGELES,CA, UNITED STATES
16,79.19,87.68,PHILADELPHIA,PA, UNITED STATES
17,79.02,108.97,PITTSBURGH,PA, UNITED STATES
18,78.62,90.67,CLEVELAND,OH, UNITED STATES
19,78.6,88.12,MILWAUKEE,WI, UNITED STATES
20,78.57,109.38,SACRAMENTO,CA, UNITED STATES
21,78.3,121.07,SAN DIEGO,CA, UNITED STATES
22,77.61,102.44,ASHEVILLE,NC, UNITED STATES
23,77.55,143.11,SAN JOSE,CA, UNITED STATES
24,77.0,87.22,NEW ORLEANS,LA, UNITED STATES
25,76.72,88.81,BIRMINGHAM,AL, UNITED STATES
26,76.72,117.29,TAMPA,FL, UNITED STATES
27,76.11,131.11,ATLANTA,GA, UNITED STATES
28,75.7,126.48,CHARLOTTE,NC, UNITED STATES
29,75.04,107.83,BALTIMORE,MD, UNITED STATES
30,74.43,116.23,ANN ARBOR,MI, UNITED STATES
31,74.28,103.52,ROCHESTER,NY, UNITED STATES
32,74.27,121.05,DENVER,CO, UNITED STATES
33,73.12,97.06,SPOKANE,WA, UNITED STATES
34,72.82,128.55,COLUMBUS,OH, UNITED STATES
35,72.81,116.08,ALBANY,NY, UNITED STATES
37,72.49,110.78,COLORADO SPRINGS,CO, UNITED STATES
39,71.85,98.29,KNOXVILLE,TN, UNITED STATES
41,71.81,103.89,ORLANDO,FL, UNITED STATES
42,71.79,111.67,NASHVILLE,TN, UNITED STATES
44,71.18,102.98,BUFFALO,NY, UNITED STATES
45,71.1,113.63,OLYMPIA,WA, UNITED STATES
46,71.04,117.39,KANSAS CITY,MO, UNITED STATES
49,70.6,116.55,JACKSONVILLE,FL, UNITED STATES
50,69.92,131.63,RALEIGH,NC, UNITED STATES
51,69.76,78.93,DETROIT,MI, UNITED STATES
53,69.41,99.39,TUCSON,AZ, UNITED STATES
55,69.13,95.13,EUGENE,OR, UNITED STATES
56,68.75,125.28,RENO,NV, UNITED STATES
57,68.72,114.52,RICHMOND,VA, UNITED STATES
58,68.63,117.4,LAS VEGAS,NV, UNITED STATES
59,68.62,110.16,LOUISVILLE,KY, UNITED STATES
60,68.38,130.69,HOUSTON,TX, UNITED STATES
61,68.04,102.54,TOLEDO,OH, UNITED STATES
63,67.73,118.9,DES MOINES,IA, UNITED STATES
65,67.58,109.29,SAN ANTONIO,TX, UNITED STATES
69,67.11,120.4,PHOENIX,AZ, UNITED STATES
71,66.87,115.7,TULSA,OK, UNITED STATES
72,66.75,120.56,MADISON,WI, UNITED STATES
74,65.47,125.21,SALT LAKE CITY,UT, UNITED STATES
75,65.27,147.47,DALLAS,TX, UNITED STATES
76,65.02,116.36,INDIANAPOLIS,IN, UNITED STATES
78,64.51,126.77,LITTLE ROCK,AR, UNITED STATES
79,64.45,131.76,AUSTIN,TX, UNITED STATES
81,64.04,122.1,CINCINNATI,OH, UNITED STATES
84,63.61,112.61,ALBUQUERQUE,NM, UNITED STATES
85,62.85,118.44,FRESNO,CA, UNITED STATES
86,62.82,111.41,MEMPHIS,TN, UNITED STATES
89,61.48,128.32,HUNTSVILLE,AL, UNITED STATES
90,60.63,114.01,WICHITA,KS, UNITED STATES
91,60.54,100.93,BOISE,ID, UNITED STATES
92,57.94,122.83,EL PASO,TX, UNITED STATES
