State,CostOfLivingRank,CostOfLivingIndex,TransportationIndex
MS,1,84.7,89.5
KS,2,86.5,94.7
OK,3,86.7,93.0
NM,4,87.2,91.7
AR,5,88.2,89.8
MO,6,88.3,91.9
IN,7,89.5,98.3
AL,8,89.6,93.2
IL,9,89.7,104.8
GA,10,90.0,96.4
TN,11,90.0,87.9
MI,12,90.1,103.1
IA,13,91.4,97.6
TX,14,91.7,91.1
OH,15,92.1,105.1
WV,16,92.4,83.4
NE,17,92.8,94.4
LA,18,93.5,96.6
KY,19,94.2,94.5
ID,20,94.3,101.3
WY,21,94.5,81.1
NC,22,95.5,93.6
SC,23,95.5,92.9
WI,24,95.7,96.9
ND,25,96.5,102.6
UT,26,96.9,105.3
FL,27,99.2,98.7
SD,28,99.7,94.4
AZ,29,100.1,105.6
MN,30,101.2,100.4
VA,31,101.4,93.8
CO,33,103.2,105.8
PA,34,103.2,111.4
DE,35,107.7,101.1
NH,36,108.0,95.5
MT,37,108.2,90.7
NV,38,108.8,120.4
WA,39,112.2,118.6
ME,40,115.2,100.6
VT,41,116.7,116.4
RI,42,118.6,103.7
NJ,43,122.4,108.7
CT,44,124.2,112.5
MD,45,128.0,102.1
AK,46,128.4,120.0
MA,47,129.7,111.9
OR,48,134.3,133.2
CA,49,142.7,133.0
NY,50,155.9,110.8
HI,52,197.6,146.6
